"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Outdegree","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.4615384615384617","0.0","0.40625","0.5","4","4","4","0","false","ABCB1","46.25","0","4","4","0","0.9809960681520314","false","0","ABCB1","0","0.5572289156626506"
"1.6","0.008444176923740108","0.625","0.3717948717948718","13","2","13","11","false","LGALS3","47.30769230769231","0","13","2","0","0.9826998689384011","false","0","LGALS3","609","0.5437665782493368"
"1.0","0.30033363162723636","1.0","0.27283653846153844","65","1","65","61","false","STAT3","41.292307692307695","0","65","4","0","0.992005242463958","false","0","STAT3","12358","0.42569389373513083"
"1.1428571428571428","1.1642331954743514","0.875","0.2708074534161491","70","2","70","52","false","IL6","41.25714285714286","0","70","18","0","0.9929226736566187","false","0","IL6","47903","0.4208454810495627"
"1.6111111111111112","0.19245526107146893","0.6206896551724138","0.20795795795795796","37","3","37","1","false","ACTB","35.21621621621622","0","37","36","0","0.9880733944954129","false","0","ACTB","9796","0.37779715199070035"
"1.1290322580645162","0.1569793956559229","0.8857142857142857","0.3000438981562774","68","3","68","13","false","IFNG","43.25","0","68","55","0","0.9923984272608125","false","0","IFNG","13996","0.44587628865979384"
"1.28","0.4102661478622523","0.78125","0.32404371584699454","61","3","61","42","false","IL4","44.90163934426229","0","61","19","0","0.9908256880733944","false","0","IL4","21167","0.48806129722024233"
"1.8888888888888888","0.00919526295572412","0.5294117647058824","0.37362637362637363","14","3","14","2","false","CREBBP","46.357142857142854","0","14","12","0","0.9844036697247707","false","0","CREBBP","745","0.5038819875776398"
"1.4242424242424243","0.09231686881088919","0.7021276595744681","0.3463768115942029","46","3","46","7","false","IFNAR1","48.06521739130435","0","46","39","0","0.9888597640891218","false","0","IFNAR1","7395","0.5224480151228733"
"1.2173913043478262","0.09181091645946429","0.8214285714285714","0.33926553672316384","60","3","60","5","false","IFNA1","45.85","0","60","55","0","0.990694626474443","false","0","IFNA1","8509","0.4983695652173913"
"1.4285714285714286","0.26941760350034494","0.7","0.3418131359851989","47","3","47","22","false","IL18","46.0","0","47","25","0","0.9897771952817824","false","0","IL18","12441","0.46938775510204084"
"2.2","0.0028424684387987134","0.45454545454545453","0.15","5","3","5","1","false","ACTC1","21.0","0","5","4","0","0.9788990825688074","false","0","ACTC1","116","0.31212121212121213"
"0.0","0.0","0.0","0.0","1","0","1","1","false","GRIN2C","37.0","0","1","0","0","0.97391874180865","false","0","GRIN2C","0","0.0"
"0.0","0.0","0.0","0.0","1","0","1","1","false","BCL6B","37.0","0","1","0","0","0.97391874180865","false","0","BCL6B","0","0.0"
"1.1830985915492958","0.08529759785857749","0.8452380952380952","0.32443151771549444","62","3","62","3","false","CSF2","44.82258064516129","0","62","59","0","0.990956749672346","false","0","CSF2","6541","0.48720196353436185"
