#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATG5	RIPK2	9606.ENSP00000358072	9606.ENSP00000220751	0	0	0	0	0.052	0.086	0	0.575	0.599
ATG5	RAB33A	9606.ENSP00000358072	9606.ENSP00000257017	0	0	0	0	0	0.631	0	0.215	0.698
ATG5	NOD2	9606.ENSP00000358072	9606.ENSP00000300589	0	0	0	0	0	0	0.900	0.689	0.967
ATG5	RAB33B	9606.ENSP00000358072	9606.ENSP00000306496	0	0	0	0	0.082	0.640	0	0.858	0.949
ATG5	NLRP3	9606.ENSP00000358072	9606.ENSP00000337383	0	0	0	0	0	0	0	0.683	0.683
ATG5	VCP	9606.ENSP00000358072	9606.ENSP00000351777	0	0	0	0	0.094	0.330	0	0.352	0.572
ATG5	OPTN	9606.ENSP00000358072	9606.ENSP00000368022	0	0	0	0	0.061	0.510	0	0.598	0.798
ATG5	IRGM	9606.ENSP00000358072	9606.ENSP00000428220	0	0	0	0	0.105	0.292	0	0.988	0.991
ATP6V0C	SGTA	9606.ENSP00000329757	9606.ENSP00000221566	0	0	0	0	0.110	0.046	0	0.392	0.439
BAHD1	TRIM28	9606.ENSP00000396976	9606.ENSP00000253024	0	0	0	0	0.084	0.292	0	0.473	0.628
BTRC	CREBBP	9606.ENSP00000359206	9606.ENSP00000262367	0	0	0	0	0.074	0	0	0.606	0.620
BTRC	VCP	9606.ENSP00000359206	9606.ENSP00000351777	0	0	0	0	0	0.704	0	0.536	0.856
BTRC	ERBIN	9606.ENSP00000359206	9606.ENSP00000426632	0	0	0	0	0	0.361	0	0.157	0.438
BTRC	RELA	9606.ENSP00000359206	9606.ENSP00000384273	0	0	0	0	0.067	0.600	0.500	0.390	0.871
CARD10	NOD2	9606.ENSP00000384570	9606.ENSP00000300589	0	0	0	0	0.058	0	0	0.487	0.496
CARD10	TRIM27	9606.ENSP00000384570	9606.ENSP00000366404	0	0	0.263	0	0	0.082	0	0.190	0.404
CARD10	GFOD1	9606.ENSP00000384570	9606.ENSP00000368589	0	0	0	0	0	0.454	0	0	0.454
CARD8	RIPK2	9606.ENSP00000499211	9606.ENSP00000220751	0	0	0	0	0	0.067	0	0.658	0.667
CARD8	NOD2	9606.ENSP00000499211	9606.ENSP00000300589	0	0	0	0	0.114	0	0	0.627	0.655
CARD8	NLRP3	9606.ENSP00000499211	9606.ENSP00000337383	0	0.069	0	0	0.081	0.307	0.900	0.976	0.998
CARD8	CEP192	9606.ENSP00000499211	9606.ENSP00000427550	0	0	0	0	0.068	0.421	0	0	0.437
CEP152	CEP170	9606.ENSP00000370337	9606.ENSP00000355500	0	0	0	0	0.060	0	0	0.541	0.550
CEP152	OPTN	9606.ENSP00000370337	9606.ENSP00000368022	0	0	0	0	0	0	0.500	0	0.499
CEP152	IRF5	9606.ENSP00000370337	9606.ENSP00000418037	0	0	0	0	0	0.323	0	0.398	0.575
CEP152	CEP192	9606.ENSP00000370337	9606.ENSP00000427550	0	0	0	0	0.110	0.196	0.540	0.888	0.958
CEP170	INAVA	9606.ENSP00000355500	9606.ENSP00000392105	0	0	0	0	0	0.480	0	0.122	0.525
CEP170	CEP192	9606.ENSP00000355500	9606.ENSP00000427550	0	0	0	0	0.056	0.071	0	0.506	0.529
CEP192	OPTN	9606.ENSP00000427550	9606.ENSP00000368022	0	0	0	0	0.047	0	0.500	0	0.503
CFL1	VCP	9606.ENSP00000432660	9606.ENSP00000351777	0	0	0	0	0.193	0.127	0	0.223	0.405
CFL1	GSN	9606.ENSP00000432660	9606.ENSP00000362924	0	0	0	0	0.059	0	0	0.864	0.867
CREBBP	TRIM28	9606.ENSP00000262367	9606.ENSP00000253024	0	0	0	0	0.067	0.301	0	0.246	0.465
CREBBP	IRF5	9606.ENSP00000262367	9606.ENSP00000418037	0	0	0	0	0	0.668	0	0.185	0.718
CREBBP	RELA	9606.ENSP00000262367	9606.ENSP00000384273	0	0	0	0	0.102	0.991	0.500	0.958	0.999
CTLA4	IL10RA	9606.ENSP00000497102	9606.ENSP00000227752	0	0	0	0	0.158	0	0	0.667	0.708
CTLA4	LGALS3	9606.ENSP00000497102	9606.ENSP00000254301	0	0	0	0	0	0	0	0.844	0.844
CTLA4	IL10RB	9606.ENSP00000497102	9606.ENSP00000290200	0	0	0	0	0.055	0.174	0	0.294	0.400
CTLA4	NOD2	9606.ENSP00000497102	9606.ENSP00000300589	0	0	0	0	0.099	0	0	0.367	0.405
CTLA4	IL23R	9606.ENSP00000497102	9606.ENSP00000321345	0	0	0	0	0.081	0	0	0.444	0.467
CTLA4	RELA	9606.ENSP00000497102	9606.ENSP00000384273	0	0	0	0	0.055	0	0	0.465	0.472
CTLA4	IL10	9606.ENSP00000497102	9606.ENSP00000412237	0	0	0	0	0.119	0	0	0.915	0.922
CTLA4	IRF5	9606.ENSP00000497102	9606.ENSP00000418037	0	0	0	0	0.071	0	0	0.446	0.463
CTLA4	IL22	9606.ENSP00000497102	9606.ENSP00000442424	0	0	0	0	0.137	0	0	0.543	0.588
CTLA4	IL12RB1	9606.ENSP00000497102	9606.ENSP00000470788	0	0	0	0	0.149	0.091	0	0.401	0.496
CYTH1	CYTH3	9606.ENSP00000389095	9606.ENSP00000297044	0	0	0.050	0.981	0.049	0.606	0.500	0.058	0.801
CYTH1	INAVA	9606.ENSP00000389095	9606.ENSP00000392105	0	0	0	0	0	0.726	0	0.395	0.827
CYTH1	CYTH2	9606.ENSP00000389095	9606.ENSP00000493357	0	0	0.049	0.982	0.049	0.607	0.500	0.505	0.896
CYTH2	CYTH3	9606.ENSP00000493357	9606.ENSP00000297044	0	0	0.050	0.980	0	0	0.500	0.059	0.514
CYTH2	INAVA	9606.ENSP00000493357	9606.ENSP00000392105	0	0	0	0	0	0.776	0	0.347	0.847
CYTH3	INAVA	9606.ENSP00000297044	9606.ENSP00000392105	0	0	0	0	0	0.644	0	0.318	0.747
E2F6	RNF2	9606.ENSP00000370936	9606.ENSP00000356480	0	0	0	0	0.055	0.836	0.900	0.746	0.995
ERBIN	NOD2	9606.ENSP00000426632	9606.ENSP00000300589	0	0	0	0	0	0.404	0.900	0.892	0.993
FAM167A	IRF5	9606.ENSP00000284486	9606.ENSP00000418037	0	0	0	0	0	0	0	0.583	0.583
GFOD1	RALGAPB	9606.ENSP00000368589	9606.ENSP00000262879	0	0	0	0	0	0.581	0	0	0.581
GSN	VIM	9606.ENSP00000362924	9606.ENSP00000446007	0	0	0	0	0.107	0	0	0.485	0.520
IL10	IL10RA	9606.ENSP00000412237	9606.ENSP00000227752	0	0	0	0	0.072	0.988	0.900	0.998	0.999
IL10	IL23A	9606.ENSP00000412237	9606.ENSP00000228534	0	0	0	0	0.094	0	0.400	0.727	0.838
IL10	LGALS3	9606.ENSP00000412237	9606.ENSP00000254301	0	0	0	0	0.069	0	0	0.630	0.641
IL10	IL37	9606.ENSP00000412237	9606.ENSP00000263326	0	0	0	0	0	0	0	0.593	0.593
IL10	IL22RA1	9606.ENSP00000412237	9606.ENSP00000270800	0	0	0	0	0	0	0.650	0.747	0.907
IL10	IL10RB	9606.ENSP00000412237	9606.ENSP00000290200	0	0	0	0	0.042	0.975	0.900	0.997	0.999
IL10	IL22RA2	9606.ENSP00000412237	9606.ENSP00000296980	0	0	0	0	0.086	0	0.650	0.370	0.781
IL10	NOD2	9606.ENSP00000412237	9606.ENSP00000300589	0	0	0	0	0.063	0	0	0.694	0.701
IL10	IL23R	9606.ENSP00000412237	9606.ENSP00000321345	0	0	0	0	0.086	0	0.650	0.913	0.970
IL10	NLRP3	9606.ENSP00000412237	9606.ENSP00000337383	0	0	0	0	0.091	0.046	0	0.671	0.690
IL10	RELA	9606.ENSP00000412237	9606.ENSP00000384273	0	0	0	0	0	0	0	0.701	0.701
IL10	IRGM	9606.ENSP00000412237	9606.ENSP00000428220	0	0	0	0	0	0	0	0.559	0.559
IL10	IRF5	9606.ENSP00000412237	9606.ENSP00000418037	0	0	0	0	0.072	0.128	0	0.745	0.775
IL10	IL12RB1	9606.ENSP00000412237	9606.ENSP00000470788	0	0	0	0	0.124	0	0.650	0.768	0.922
IL10	IL22	9606.ENSP00000412237	9606.ENSP00000442424	0	0	0	0	0.125	0	0	0.939	0.944
IL10RA	IRF5	9606.ENSP00000227752	9606.ENSP00000418037	0	0	0	0	0.229	0	0	0.264	0.409
IL10RA	IL23R	9606.ENSP00000227752	9606.ENSP00000321345	0	0	0	0	0.090	0	0	0.479	0.505
IL10RA	IL12RB1	9606.ENSP00000227752	9606.ENSP00000470788	0	0	0	0	0.182	0	0	0.516	0.587
