Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1643685,"Disease",43,3090,0.19087034406078202,0.006326318614492954,0.037957911686957724,169,2174,0.13582406597525928,9606,Homo sapiens,"IL22;VCP;ABCB1;IFNA1;IFNA2;NOD2;ACTB;RELA;TRIM28;NLRP3;TRIM27;BTRC;IL6R;JAK1;IL10;IFNAR2;CREBBP;IL11RA;RIPK2;IFNB1;IFNGR1;STAT1;IL10RB;IL10RA;STAT3;ERBIN;IL18;IFNLR1;TYK2;IL6;VIM;FGFR3;IFNAR1;IL17A","","R-HSA-9656211;R-HSA-9656209;R-HSA-9678737;R-HSA-9656215;R-HSA-9656214;R-HSA-447246;R-HSA-9666458;R-HSA-9665412;R-HSA-9681294;R-HSA-9696179;R-HSA-9851062;R-HSA-9948087;R-HSA-449058;R-HSA-9701810;R-HSA-5387386;R-HSA-9851071;R-HSA-4396393;R-HSA-9851068;R-HSA-4396392;R-HSA-2400009;R-HSA-9851064;R-HSA-5387389;R-HSA-4396402;R-HSA-4396401;R-HSA-9665697;R-HSA-9665696;R-HSA-9665703;R-HSA-9665702;R-HSA-9686699;R-HSA-9725357;R-HSA-9729454;R-HSA-9757097;R-HSA-9665708;R-HSA-9712085;R-HSA-9665232;R-HSA-5228811;R-HSA-6803234;R-HSA-5655315;R-HSA-6803233;R-HSA-9711058;R-HSA-844612;R-HSA-9672159;R-HSA-844610;R-HSA-2033485;R-HSA-9851072;R-HSA-9636297;R-HSA-2033476;R-HSA-9630921;R-HSA-9712079;R-HSA-9948108;R-HSA-180573;R-HSA-9649393;R-HSA-9672176;R-HSA-9851122;R-HSA-9662710;R-HSA-9851123;R-HSA-9662708;R-HSA-9851133;R-HSA-2038387;R-HSA-9923067;R-HSA-180591;R-HSA-9665278;R-HSA-2038386;R-HSA-9833446;R-HSA-9678561;R-HSA-9614816;R-HSA-9694689;R-HSA-9851109;R-HSA-9851106;R-HSA-180599;R-HSA-9851104;R-HSA-180597;R-HSA-9851118;R-HSA-6803230;R-HSA-9851117;R-HSA-6803227;R-HSA-9851114;R-HSA-9851112;R-HSA-6802919;R-HSA-6802918;R-HSA-9670417;R-HSA-9670416;R-HSA-2029466;R-HSA-6802914;R-HSA-2220964;R-HSA-6802912;R-HSA-2220966;R-HSA-9685268;R-HSA-5655262;R-HSA-6802926;R-HSA-9670426;R-HSA-6802925;R-HSA-2220971;R-HSA-9665304;R-HSA-9665311;R-HSA-6802922;R-HSA-6802921;R-HSA-6802935;R-HSA-9851142;R-HSA-6802934;R-HSA-6802933;R-HSA-2220979;R-HSA-6802932;R-HSA-9665280;R-HSA-909726;R-HSA-2220981;R-HSA-9665286;R-HSA-9851139;R-HSA-9665284;R-HSA-9851137;R-HSA-6802943;R-HSA-2220985;R-HSA-6802942;R-HSA-5655247;R-HSA-5655244;R-HSA-909719;R-HSA-2197690;R-HSA-5655243;R-HSA-9670412;R-HSA-8866854;R-HSA-5655285;R-HSA-9664567;R-HSA-1248694;R-HSA-9652277;R-HSA-5655295;R-HSA-2012084;R-HSA-2012082;R-HSA-1227964;R-HSA-9662781;R-HSA-8866857;R-HSA-5655289;R-HSA-8866856;R-HSA-9665315;R-HSA-5655270;R-HSA-9685281;R-HSA-2012074;R-HSA-5483238;R-HSA-2012073;R-HSA-6802911;R-HSA-6802910;R-HSA-448703;R-HSA-8853309;R-HSA-9652264;R-HSA-5655277;R-HSA-2220957;R-HSA-2029473;R-HSA-9920087;R-HSA-8853317;R-HSA-9678935;R-HSA-1861595;R-HSA-9664346;R-HSA-5678749;R-HSA-873951;R-HSA-9603905;R-HSA-9850958;R-HSA-9756494;R-HSA-1888198;R-HSA-1028817;R-HSA-9664588;R-HSA-9664332;R-HSA-442592;R-HSA-9665405;R-HSA-1306876;R-HSA-9665121;R-HSA-2077420;R-HSA-1250272;R-HSA-168184;R-HSA-9665389;R-HSA-9665388"
R-HSA-937061,"TRIF (TICAM1)-mediated TLR4 signaling ",5,122,0.007535981221817283,0.00686873569755031,0.04121241418530186,10,76,0.004748219417718355,9606,Homo sapiens,"RIPK2;NOD2;BTRC;OPTN;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9823906;R-HSA-9630923;R-HSA-168184;R-HSA-9823934;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-166166,"MyD88-independent TLR4 cascade ",5,122,0.007535981221817283,0.00686873569755031,0.04121241418530186,10,78,0.004873172560289891,9606,Homo sapiens,"RIPK2;NOD2;BTRC;OPTN;RELA","","R-HSA-168166;R-HSA-450337;R-HSA-9823906;R-HSA-9630923;R-HSA-168184;R-HSA-9823934;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-448424,"Interleukin-17 signaling",4,78,0.004818086354932361,0.0071657204166585275,0.042994322499951165,5,35,0.0021866799950018743,9606,Homo sapiens,"RIPK2;NOD2;BTRC;IL17A","","R-HSA-450337;R-HSA-447246;R-HSA-5684250;R-HSA-450346;R-HSA-5684248"
R-HSA-8934903,"Receptor Mediated Mitophagy",2,13,8.03014392488727E-4,0.007181966723725508,0.04309180034235305,1,7,4.3733599900037484E-4,9606,Homo sapiens,"ATG12;ATG5","","R-HSA-8959571"
R-HSA-5205647,"Mitophagy",3,41,0.002532583853233677,0.0075584092341557385,0.04535045540493443,7,23,0.0014369611395726603,9606,Homo sapiens,"OPTN;ATG12;ATG5","","R-HSA-5205663;R-HSA-9840807;R-HSA-9824897;R-HSA-9824892;R-HSA-8959571;R-HSA-9824894;R-HSA-9824888"
R-HSA-168181,"Toll Like Receptor 7/8 (TLR7/8) Cascade",5,125,0.007721292235468528,0.007581327404660665,0.04548796442796399,12,85,0.005310508559290266,9606,Homo sapiens,"RIPK2;IRF5;NOD2;BTRC;RELA","","R-HSA-9860278;R-HSA-9860292;R-HSA-168166;R-HSA-9860290;R-HSA-9860273;R-HSA-450337;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
R-HSA-9860927,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",3,42,0.0025943541911174254,0.008068720998950285,0.04841232599370171,5,23,0.0014369611395726603,9606,Homo sapiens,"STAT1;NLRP3;RELA","","R-HSA-9865511;R-HSA-9865524;R-HSA-8985983;R-HSA-9861486;R-HSA-8985943"
R-HSA-9662834,"CD163 mediating an anti-inflammatory response",2,14,8.647847303724751E-4,0.008277260270458164,0.049663561622748986,1,9,5.622891415719105E-4,9606,Homo sapiens,"IL10;IL6","","R-HSA-9662781"
R-HSA-168138,"Toll Like Receptor 9 (TLR9) Cascade",5,128,0.007906603249119773,0.008343905620300629,0.050063433721803774,12,86,0.005372985130576034,9606,Homo sapiens,"RIPK2;IRF5;NOD2;BTRC;RELA","","R-HSA-9860278;R-HSA-9860292;R-HSA-168166;R-HSA-9860290;R-HSA-9860273;R-HSA-450337;R-HSA-9630923;R-HSA-168184;R-HSA-5684250;R-HSA-450346;R-HSA-5684248;R-HSA-9773803"
